"search-number","evaluation","exploration-probability*","exploration-radius*","fitness","num-replicates","best-fitness-so-far","best-fitness-rechecked"
"1","5","0.6009308003356985","10.803768978408485","9.347613314054231E10","5","9.347613314054231E10","9.347410410792883E10"
"1","10","0.59829098954757","1.196231021591516","8.953566047966666E10","5","8.953566047966666E10","8.96457255187761E10"
"1","15","0.5982757305256733","1.196231021591516","8.653315545787271E10","5","8.653315545787271E10","8.878922305374919E10"
"1","20","0.5982757305256733","3.3036545357442586","9.295567559802112E10","5","8.653315545787271E10","8.878922305374919E10"
"1","25","0.5983825436789502","1.1161211566338598","8.937310681124448E10","5","8.653315545787271E10","8.878922305374919E10"
"1","30","0.5982757305256733","1.272373540856031","9.157709099644633E10","5","8.653315545787271E10","8.878922305374919E10"
"1","35","0.5982757305256733","5.803692683299","9.169495850076872E10","5","8.653315545787271E10","8.878922305374919E10"
"1","40","0.4017242694743267","1.196231021591516","8.438799175102908E10","5","8.438799175102908E10","8.172701991046649E10"
"1","45","0.4017242694743267","1.1954680704966811","8.535199720021585E10","5","8.438799175102908E10","8.172701991046649E10"
"1","50","0.41077286945906766","1.1161211566338598","8.646276266767644E10","5","8.438799175102908E10","8.172701991046649E10"
"1","55","0.40161745632104984","1.196231021591516","8.265849581004298E10","5","8.265849581004298E10","8.310201175892734E10"
"1","60","0.10077058060578317","2.2098878461890594","3.5929023649512726E10","5","3.5929023649512726E10","3.611495253673739E10"
"1","65","0.09452964065003433","2.1923399710078586","3.1544949333337055E10","5","3.1544949333337055E10","3.72157356048961E10"
"1","70","0.9052872510872053","1.682536049439231","9.884799681017337E10","5","3.1544949333337055E10","3.72157356048961E10"
"1","75","0.0929579613946746","9.807507438773175","2.6501352036710457E10","5","2.6501352036710457E10","2.578579452379864E10"
"1","80","0.4071717402914473","9.807507438773175","8.757504996982635E10","5","2.6501352036710457E10","2.578579452379864E10"
"1","85","0.03143358510719463","2.1924925612268256","2.0535412592494255E10","5","2.0535412592494255E10","1.6183745151317938E10"
"1","90","0.03143358510719463","9.848859388113222","2.8131326175926554E8","5","2.8131326175926554E8","1.0320448178238815E8"
"1","95","0.21855497062638285","9.885481040665294","7.000779927015619E10","5","2.8131326175926554E8","1.0320448178238815E8"
"1","100","0.03141832608529793","9.848859388113222","4.881298248220345E8","5","2.8131326175926554E8","1.0320448178238815E8"
"1","105","0.9611505302510109","9.848859388113222","9.664787604771805E10","5","2.8131326175926554E8","1.0320448178238815E8"
"1","110","0.03143358510719463","9.84901197833219","1.073717794885409E8","5","1.073717794885409E8","2.098861826434246E8"
"1","115","0.046677347981994355","9.84901197833219","1.2419318489827623E9","5","1.073717794885409E8","2.098861826434246E8"
"1","120","0.03129625391012436","9.829480430304418","1.3763377940460435E8","5","1.073717794885409E8","2.098861826434246E8"
"1","125","0.2111238269626917","9.84901197833219","6.995921629030177E10","5","1.073717794885409E8","2.098861826434246E8"
"1","130","0.03143358510719463","9.850080109864958","1.3787169532929546E8","5","1.073717794885409E8","2.098861826434246E8"
"1","135","0.031036850537880523","9.848859388113222","1.423564898802783E8","5","1.073717794885409E8","2.098861826434246E8"
"1","140","0.032028686961165787","2.150988021667811","4.738976610129362E9","5","1.073717794885409E8","2.098861826434246E8"
"1","145","0.03886472877088579","9.84901197833219","3.5867514949104655E8","5","1.073717794885409E8","2.098861826434246E8"
"1","150","0.03143358510719463","9.856183718623637","1.0797137098653965E8","5","1.073717794885409E8","2.098861826434246E8"
"1","155","0.03143358510719463","2.1438162813763637","1.133427927497814E10","5","1.073717794885409E8","2.098861826434246E8"
"1","160","0.03479056992446784","9.653543907835507","6.413236970839379E7","5","6.413236970839379E7","1.3172458319904676E8"
"1","165","0.027695124742504004","9.653543907835507","1.2851830451766601E8","5","6.413236970839379E7","1.3172458319904676E8"
"1","170","0.04332036316472114","9.653543907835507","1.1417198024846234E9","5","6.413236970839379E7","1.3172458319904676E8"
"1","175","0.028931105516136417","9.652475776302738","1.346608667472627E8","5","6.413236970839379E7","1.3172458319904676E8"
"1","180","0.03483634699015793","9.653543907835507","1.3285743509099028E8","5","6.413236970839379E7","1.3172458319904676E8"
"1","185","0.03355458915083543","9.653543907835507","4.0638655909122206E7","5","4.0638655909122206E7","1.821505200470561E8"
"1","190","0.4085603112840467","9.846570534828718","8.734659112478804E10","5","4.0638655909122206E7","1.821505200470561E8"
"1","195","0.03355458915083543","8.596551461051346","1.5932291536356694E8","5","4.0638655909122206E7","1.821505200470561E8"
"1","200","0.03479056992446784","9.218966964217593","2.427768255994792E8","5","4.0638655909122206E7","1.821505200470561E8"
"1","205","0.056992446784161134","8.596551461051346","3.465802029218131E9","5","4.0638655909122206E7","1.821505200470561E8"
"1","210","0.06016632333867399","9.661020828564888","6.619190053511019E9","5","4.0638655909122206E7","1.821505200470561E8"
"1","215","0.18980697337300678","9.653543907835507","6.285026716571635E10","5","4.0638655909122206E7","1.821505200470561E8"
"1","220","0.03355458915083543","9.682841229877164","1.3812730573788673E8","5","4.0638655909122206E7","1.821505200470561E8"
"1","225","0.0921492332341497","9.653543907835507","2.70058524602391E10","5","4.0638655909122206E7","1.821505200470561E8"
"1","230","0.03356984817273213","9.654154268711375","3.213639378511684E8","5","4.0638655909122206E7","1.821505200470561E8"
"1","235","0.044586861982146946","9.661020828564888","7.845614359585329E8","5","4.0638655909122206E7","1.821505200470561E8"
"1","240","0.03355458915083543","9.653696498054474","6.976255028326148E8","5","4.0638655909122206E7","1.821505200470561E8"
"1","245","0.03355458915083543","7.346532387273975","7.824896821931221E8","5","4.0638655909122206E7","1.821505200470561E8"
"1","250","0.09143205920500495","9.61219195849546","2.9324081410736427E10","5","4.0638655909122206E7","1.821505200470561E8"
"1","255","0.033447775997558556","9.652475776302738","2.871618353189932E8","5","4.0638655909122206E7","1.821505200470561E8"
"1","260","0.03355458915083543","9.846570534828718","2.3179499103365856E8","5","4.0638655909122206E7","1.821505200470561E8"
"1","265","0.04455634393835355","9.653543907835507","1.1036321772350976E9","5","4.0638655909122206E7","1.821505200470561E8"
"1","270","0.034042877851529714","9.653543907835507","1.7787469829451084E8","5","4.0638655909122206E7","1.821505200470561E8"
"1","275","0.03355458915083543","9.731212329289692","1.526810598486308E8","5","4.0638655909122206E7","1.821505200470561E8"
"1","280","0.06018158236057069","9.660868238345921","6.928980613289213E9","5","4.0638655909122206E7","1.821505200470561E8"
"1","285","0.017929350728618294","9.653696498054474","2.656025814520565E9","5","4.0638655909122206E7","1.821505200470561E8"
"1","290","0.03355458915083543","9.65842679484245","1.583217002376024E8","5","4.0638655909122206E7","1.821505200470561E8"
"1","295","0.03355458915083543","9.65339131761654","4.614549363457383E7","5","4.0638655909122206E7","1.821505200470561E8"
"1","300","0.4977340352483406","9.653543907835507","8.97679212890094E10","5","4.0638655909122206E7","1.821505200470561E8"
"2","5","0.5402761882963302","3.170748455024033","9.058394636648996E10","5","9.058394636648996E10","8.898236352524353E10"
"2","10","0.5402761882963302","1.3291371023117418","9.155171770417717E10","5","9.058394636648996E10","8.898236352524353E10"
"2","15","0.5402761882963302","3.8291752498664837","8.926451835976904E10","5","8.926451835976904E10","8.956232675993365E10"
"2","20","0.5401693751430533","5.670786602578775","9.047254454942953E10","5","8.926451835976904E10","8.956232675993365E10"
"2","25","0.5402761882963302","3.873884184023804","9.011180198136472E10","5","8.926451835976904E10","8.956232675993365E10"
"2","30","0.5529716945143817","3.8291752498664837","9.123465087689648E10","5","8.926451835976904E10","8.956232675993365E10"
"2","35","0.5402761882963302","3.952468146791791","9.133250580705582E10","5","8.926451835976904E10","8.956232675993365E10"
"2","40","0.9597467002365149","3.824292362859541","9.934766826262589E10","5","8.926451835976904E10","8.956232675993365E10"
"2","45","0.5407797360189212","3.9654383154039827","9.03560095570396E10","5","8.926451835976904E10","8.956232675993365E10"
"2","50","0.5417563134203097","3.828717479209583","8.93551920602328E10","5","8.926451835976904E10","8.956232675993365E10"
"2","55","0.5412527656977187","1.9224078736552987","8.89417471084204E10","5","8.89417471084204E10","8.685625605388254E10"
"2","60","0.5412527656977187","1.3276112001220721","8.676310738940674E10","5","8.676310738940674E10","9.209830681630435E10"
"2","65","0.5412222476539253","1.874494544899672","9.00764336248051E10","5","8.676310738940674E10","9.209830681630435E10"
"2","70","0.5417563134203097","1.3314259555962462","8.978157560229324E10","5","8.676310738940674E10","9.209830681630435E10"
"2","75","0.5417563134203097","1.2977035172045472","8.994016548616165E10","5","8.676310738940674E10","9.209830681630435E10"
"2","80","0.5412527656977187","10.672388799877927","9.265813045561514E10","5","8.676310738940674E10","9.209830681630435E10"
"2","85","0.5412527656977187","3.046387426565957","9.082692695066576E10","5","8.676310738940674E10","9.209830681630435E10"
"2","90","0.5427328908216983","10.66369115739681","9.194805799459317E10","5","8.676310738940674E10","9.209830681630435E10"
"2","95","0.5417563134203097","1.609750514991989","8.790392927066325E10","5","8.676310738940674E10","9.209830681630435E10"
"2","100","0.5407797360189212","3.1722743572137024","8.992415857860345E10","5","8.676310738940674E10","9.209830681630435E10"
"2","105","0.5524986648355841","1.4838635843442436","8.969703636900754E10","5","8.676310738940674E10","9.209830681630435E10"
"2","110","0.5407797360189212","1.375371938658732","8.948737153688983E10","5","8.676310738940674E10","9.209830681630435E10"
"2","115","0.5524986648355841","1.3276112001220721","8.479423932793005E10","5","8.479423932793005E10","8.895116686038068E10"
"2","120","0.5525139238574808","1.3276112001220721","8.347107809575204E10","5","8.347107809575204E10","9.148729625831522E10"
"2","125","0.5525139238574808","1.375219348439765","8.835047402214388E10","5","8.347107809575204E10","9.148729625831522E10"
"2","130","0.5724879835202563","1.3276112001220721","9.066670457571191E10","5","8.347107809575204E10","9.148729625831522E10"
"2","135","0.5525139238574808","1.375371938658732","9.32957873677409E10","5","8.347107809575204E10","9.148729625831522E10"
"2","140","0.5495841916533151","1.327763790341039","9.367268478712837E10","5","8.347107809575204E10","9.148729625831522E10"
"2","145","0.5519798580910964","1.3276112001220721","8.997270388845627E10","5","8.347107809575204E10","9.148729625831522E10"
"2","150","0.5527122911421378","1.3276112001220721","8.900692547765999E10","5","8.347107809575204E10","9.148729625831522E10"
"2","155","0.5099870298313878","3.173342488746471","8.956680329176974E10","5","8.347107809575204E10","9.148729625831522E10"
"2","160","0.5525139238574808","5.390173189898528","9.10928994490131E10","5","8.347107809575204E10","9.148729625831522E10"
"2","165","0.44802014190890366","1.3276112001220721","8.138614410966234E10","5","8.138614410966234E10","8.079058616619983E10"
"2","170","0.48708323796444647","1.3276112001220721","8.865437175646562E10","5","8.138614410966234E10","8.079058616619983E10"
"2","175","0.44809643701838714","1.3274586099031052","8.743385573243906E10","5","8.138614410966234E10","8.079058616619983E10"
"2","180","0.04957656214236667","10.672388799877927","2.4463057476839767E9","5","2.4463057476839767E9","1.8913861896148922E9"
"2","185","0.04957656214236667","6.327534905012588","1.3624419202579846E9","5","1.3624419202579846E9","2.4580824995376215E9"
"2","190","0.05978484779125658","6.327534905012588","6.316977738813146E9","5","1.3624419202579846E9","2.4580824995376215E9"
"2","195","0.07541008621347371","8.172503242542152","1.6245591883781052E10","5","1.3624419202579846E9","2.4580824995376215E9"
"2","200","0.04957656214236667","5.672465094987412","4.087795094526492E9","5","1.3624419202579846E9","2.4580824995376215E9"
"2","205","0.04415960936903945","6.371480888075074","1.589517671278465E9","5","1.3624419202579846E9","2.4580824995376215E9"
"2","210","0.04959182116426337","6.327534905012588","3.331542425012748E9","5","1.3624419202579846E9","2.4580824995376215E9"
"2","215","0.04957656214236667","6.326771953917754","3.3647464067213335E9","5","1.3624419202579846E9","2.4580824995376215E9"
"2","220","0.049561303120469975","6.327687495231555","2.798996683367513E9","5","1.3624419202579846E9","2.4580824995376215E9"
"2","225","0.04415960936903945","6.444724193179217","9.445016030913521E8","5","9.445016030913521E8","1.5257547326018126E9"
"2","230","0.04415960936903945","6.448844129091325","2.1233737309607697E9","5","9.445016030913521E8","1.5257547326018126E9"
"2","235","0.04415960936903945","6.414663920042726","1.801042415756391E9","5","9.445016030913521E8","1.5257547326018126E9"
"2","240","0.04567025253681239","6.445181963836118","1.7031135544614403E9","5","9.445016030913521E8","1.5257547326018126E9"
"2","245","0.018326085297932403","6.444724193179217","2.5158270186327095E9","5","9.445016030913521E8","1.5257547326018126E9"
"2","250","0.043717097734035246","6.444724193179217","1.344999343567653E9","5","9.445016030913521E8","1.5257547326018126E9"
"2","255","0.043961242084382395","6.444724193179217","1.5874781003575864E9","5","9.445016030913521E8","1.5257547326018126E9"
"2","260","0.04414435034714275","6.444724193179217","1.3806161337511914E9","5","9.445016030913521E8","1.5257547326018126E9"
"2","265","0.04415960936903945","6.445181963836118","1.5764407558772511E9","5","9.445016030913521E8","1.5257547326018126E9"
"2","270","0.04415960936903945","6.453727016098268","1.6836973091014273E9","5","9.445016030913521E8","1.5257547326018126E9"
"2","275","0.04415960936903945","8.055313954375524","9.940615391913354E8","5","9.445016030913521E8","1.5257547326018126E9"
"2","280","0.043717097734035246","5.585336079957274","1.6451057304046888E9","5","9.445016030913521E8","1.5257547326018126E9"
"2","285","0.043717097734035246","6.448844129091325","1.09235569714493E9","5","9.445016030913521E8","1.5257547326018126E9"
"2","290","0.043961242084382395","6.445181963836118","1.9724828098634593E9","5","9.445016030913521E8","1.5257547326018126E9"
"2","295","0.044174868390936144","6.336079957274738","2.5046520034452066E9","5","9.445016030913521E8","1.5257547326018126E9"
"2","300","0.9558403906309606","8.319752803845272","9.632952079298334E10","5","9.445016030913521E8","1.5257547326018126E9"
"3","5","0.4042572671091783","5.794079499504082","8.528998826069975E10","5","8.528998826069975E10","8.565369014338985E10"
"3","10","0.40408941786831465","5.794079499504082","8.587137830604126E10","5","8.528998826069975E10","8.565369014338985E10"
"3","15","0.4042572671091783","5.785992217898833","8.587717674616727E10","5","8.528998826069975E10","8.565369014338985E10"
"3","20","0.4042572671091783","5.595559624628061","8.498224322479312E10","5","8.498224322479312E10","8.539652788565579E10"
"3","25","0.4042572671091783","5.595254444190127","8.506938605184857E10","5","8.498224322479312E10","8.539652788565579E10"
"3","30","0.40408941786831465","5.595559624628061","8.633278387310571E10","5","8.498224322479312E10","8.539652788565579E10"
"3","35","0.404272526131075","5.595559624628061","8.46805889009613E10","5","8.46805889009613E10","8.530512943866599E10"
"3","40","0.39259937438010223","5.596322575722896","8.461734286808084E10","5","8.461734286808084E10","8.57304922129333E10"
"3","45","0.39259937438010223","5.459601739528496","8.460704642668239E10","5","8.460704642668239E10","8.53136432547177E10"
"3","50","0.38864728770885787","1.5403219653620202","8.018048111040895E10","5","8.018048111040895E10","8.387353955839629E10"
"3","55","0.48635080491340504","1.7356374456397345","8.770609382303622E10","5","8.018048111040895E10","8.387353955839629E10"
"3","60","0.3877164873731594","1.5435263599603264","8.426607364947556E10","5","8.018048111040895E10","8.387353955839629E10"
"3","65","0.3869382772564279","1.5401693751430532","8.262635692699529E10","5","8.018048111040895E10","8.387353955839629E10"
"3","70","0.3885709925993744","1.5403219653620202","8.075097412570432E10","5","8.018048111040895E10","8.387353955839629E10"
"3","75","0.38828107118333716","1.0813305867093919","8.225858983061063E10","5","8.018048111040895E10","8.387353955839629E10"
"3","80","0.11178759441519799","1.541084916456855","3.921147929100616E10","5","3.921147929100616E10","3.920112626957585E10"
"3","85","0.1445029373617151","10.458915083543145","5.248839395530005E10","5","3.921147929100616E10","3.920112626957585E10"
"3","90","0.11158922713054094","1.541084916456855","4.053074685480675E10","5","3.921147929100616E10","3.920112626957585E10"
"3","95","0.08053711757076372","1.541084916456855","2.6559819621963486E10","5","2.6559819621963486E10","2.935594220257395E10"
"3","100","0.41945525291828795","1.541084916456855","8.420861913524498E10","5","2.6559819621963486E10","2.935594220257395E10"
"3","105","0.08052185854886702","1.541084916456855","3.1816776953504078E10","5","2.6559819621963486E10","2.935594220257395E10"
"3","110","0.07272449835965515","1.541084916456855","2.0938223177592308E10","5","2.0938223177592308E10","2.772859548740398E10"
"3","115","0.07277027542534524","1.541084916456855","2.6603122934772778E10","5","2.0938223177592308E10","2.772859548740398E10"
"3","120","0.07570000762951094","1.541084916456855","3.0936761537402973E10","5","2.0938223177592308E10","2.772859548740398E10"
"3","125","0.06788738841840238","1.541084916456855","2.622180613216046E10","5","2.0938223177592308E10","2.772859548740398E10"
"3","130","0.07272449835965515","2.958342870222019","1.980458014267763E10","5","1.980458014267763E10","1.935761771718813E10"
"3","135","0.07228198672465096","3.416571297779812","1.6413917309465342E10","5","1.6413917309465342E10","1.7077194503082458E10"
"3","140","0.07223620965896085","3.4161135271229113","1.8898261466945744E10","5","1.6413917309465342E10","1.7077194503082458E10"
"3","145","0.07228198672465096","1.0833142595559624","2.463466562769033E10","5","1.6413917309465342E10","1.7077194503082458E10"
